scenario_label,simulation_year,metric,aggregate,raw_value,n_simulations,simulation_ids,value
G1L1W1,2022,old_quota,mean,0.30248656608868996,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.30248656608868996
G1L1W1,2022,share_20_66,mean,0.6177761101770561,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.6177761101770561
G1L1W1,2022,share_over_67,mean,0.1868581768196639,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.1868581768196639
G1L1W1,2022,share_under_20,mean,0.18279246194071833,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18279246194071833
G1L1W1,2022,total_20_66,mean,24616.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",51224.743441666666
G1L1W1,2022,total_over_67,mean,7445.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",15493.873908333335
G1L1W1,2022,total_pop,mean,39846.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",82917.92483333334
G1L1W1,2022,total_under_20,mean,7283.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",15156.764058333334
G1L1W1,2022,youth_quota,mean,0.2958973496643655,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2958973496643655
G1L1W1,2023,old_quota,mean,0.308671912934495,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.308671912934495
G1L1W1,2023,share_20_66,mean,0.6141339889843218,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.6141339889843218
G1L1W1,2023,share_over_67,mean,0.18955261714786564,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18955261714786564
G1L1W1,2023,share_under_20,mean,0.18391256364016254,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18391256364016254
G1L1W1,2023,total_20_66,mean,24464.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",50909.13648333334
G1L1W1,2023,total_over_67,mean,7551.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",15713.064675000001
G1L1W1,2023,total_pop,mean,39836.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",82895.7283
G1L1W1,2023,total_under_20,mean,7326.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",15245.550191666667
G1L1W1,2023,youth_quota,mean,0.2994790252573778,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2994790252573778
G1L1W1,2024,old_quota,mean,0.3147516018344247,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3147516018344247
G1L1W1,2024,share_20_66,mean,0.6102858138894275,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.6102858138894275
G1L1W1,2024,share_over_67,mean,0.19207899005471418,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.19207899005471418
G1L1W1,2024,share_under_20,mean,0.18443903749642013,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18443903749642013
G1L1W1,2024,total_20_66,mean,24310.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",50587.980391666664
G1L1W1,2024,total_over_67,mean,7651.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",15921.850816666667
G1L1W1,2024,total_pop,mean,39834.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",82892.26009166667
G1L1W1,2024,total_under_20,mean,7347.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",15288.555975000001
G1L1W1,2024,youth_quota,mean,0.3022271658564985,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3022271658564985
G1L1W1,2025,old_quota,mean,0.3219103069257877,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3219103069257877
G1L1W1,2025,share_20_66,mean,0.6065322605048477,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.6065322605048477
G1L1W1,2025,share_over_67,mean,0.19523940656345184,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.19523940656345184
G1L1W1,2025,share_under_20,mean,0.18510962411763665,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18510962411763665
G1L1W1,2025,total_20_66,mean,24149.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",50253.64510833334
G1L1W1,2025,total_over_67,mean,7773.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",16176.417308333335
G1L1W1,2025,total_pop,mean,39816.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",82854.1098
G1L1W1,2025,total_under_20,mean,7370.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",15337.110891666667
G1L1W1,2025,youth_quota,mean,0.3052084385654872,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3052084385654872
G1L1W1,2026,old_quota,mean,0.3290483994036569,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3290483994036569
G1L1W1,2026,share_20_66,mean,0.6019522183278788,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.6019522183278788
G1L1W1,2026,share_over_67,mean,0.19806463892579615,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.19806463892579615
G1L1W1,2026,share_under_20,mean,0.18615000131274942,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18615000131274942
G1L1W1,2026,total_20_66,mean,23947.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",49833.298258333336
G1L1W1,2026,total_over_67,mean,7879.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",16396.995358333334
G1L1W1,2026,total_pop,mean,39783.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",82786.13291666668
G1L1W1,2026,total_under_20,mean,7405.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",15410.636908333336
G1L1W1,2026,youth_quota,mean,0.30925103737155457,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.30925103737155457
G1L1W1,2027,old_quota,mean,0.3367928079292242,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3367928079292242
G1L1W1,2027,share_20_66,mean,0.5977332742259908,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5977332742259908
G1L1W1,2027,share_over_67,mean,0.2013054027581351,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2013054027581351
G1L1W1,2027,share_under_20,mean,0.1869728034025313,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.1869728034025313
G1L1W1,2027,total_20_66,mean,23743.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",49408.095916666665
G1L1W1,2027,total_over_67,mean,7996.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",16639.769941666666
G1L1W1,2027,total_pop,mean,39722.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",82659.19649166668
G1L1W1,2027,total_under_20,mean,7427.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",15455.029975000001
G1L1W1,2027,youth_quota,mean,0.31280837384208365,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.31280837384208365
G1L1W1,2028,old_quota,mean,0.3448123337840457,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3448123337840457
G1L1W1,2028,share_20_66,mean,0.592839130171069,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.592839130171069
G1L1W1,2028,share_over_67,mean,0.20440906247209212,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.20440906247209212
G1L1W1,2028,share_under_20,mean,0.18767149908156808,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18767149908156808
G1L1W1,2028,total_20_66,mean,23496.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",48893.4138
G1L1W1,2028,total_over_67,mean,8101.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",16858.267066666667
G1L1W1,2028,total_pop,mean,39633.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",82473.300525
G1L1W1,2028,total_under_20,mean,7438.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",15477.920150000002
G1L1W1,2028,youth_quota,mean,0.31657346914206363,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.31657346914206363
G1L1W1,2029,old_quota,mean,0.3558622467352566,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3558622467352566
G1L1W1,2029,share_20_66,mean,0.5871527948596217,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5871527948596217
