metric,value,simulation_year,scenario_label
share_over_67,0.08001904184879041,1950,Historical
share_20_66,0.6158451262965047,1950,Historical
share_under_20,0.30413583185470494,1950,Historical
total_over_67,5547.0,1950,Historical
total_20_66,42691.0,1950,Historical
total_under_20,21083.0,1950,Historical
youth_quota,0.49385116300859666,1950,Historical
old_quota,0.12993370968119744,1950,Historical
total_pop,69321.0,1950,Historical
share_over_67,0.08191410057916165,1951,Historical
share_20_66,0.6143987613968691,1951,Historical
share_under_20,0.30368713802396924,1951,Historical
total_over_67,5714.0,1951,Historical
total_20_66,42858.0,1951,Historical
total_under_20,21184.0,1951,Historical
youth_quota,0.49428344766438,1951,Historical
old_quota,0.13332400018666293,1951,Historical
total_pop,69756.0,1951,Historical
share_over_67,0.08405578052814693,1952,Historical
share_20_66,0.6119888210802487,1952,Historical
share_under_20,0.3039553983916044,1952,Historical
total_over_67,5895.0,1952,Historical
total_20_66,42920.0,1952,Historical
total_under_20,21317.0,1952,Historical
youth_quota,0.496668219944082,1952,Historical
old_quota,0.13734855545200372,1952,Historical
total_pop,70132.0,1952,Historical
share_over_67,0.08528406754668293,1953,Historical
share_20_66,0.6103872166059352,1953,Historical
share_under_20,0.3043287158473819,1953,Historical
total_over_67,6015.0,1953,Historical
total_20_66,43050.0,1953,Historical
total_under_20,21464.0,1953,Historical
youth_quota,0.4985830429732868,1953,Historical
old_quota,0.1397212543554007,1953,Historical
total_pop,70529.0,1953,Historical
share_over_67,0.08710673642350486,1954,Historical
share_20_66,0.6110727229139932,1954,Historical
share_under_20,0.3018205406625019,1954,Historical
total_over_67,6177.0,1954,Historical
total_20_66,43333.0,1954,Historical
total_under_20,21403.0,1954,Historical
youth_quota,0.49391918399372303,1954,Historical
old_quota,0.14254725036346436,1954,Historical
total_pop,70913.0,1954,Historical
share_over_67,0.08883871601060175,1955,Historical
share_20_66,0.6126295418530621,1955,Historical
share_under_20,0.2985317421363362,1955,Historical
total_over_67,6335.0,1955,Historical
total_20_66,43686.0,1955,Historical
total_under_20,21288.0,1955,Historical
youth_quota,0.48729570113995324,1955,Historical
old_quota,0.14501213203314564,1955,Historical
total_pop,71309.0,1955,Historical
share_over_67,0.09049237669426383,1956,Historical
share_20_66,0.6141098150942864,1956,Historical
share_under_20,0.2953978082114498,1956,Historical
total_over_67,6416.0,1956,Historical
total_20_66,43541.0,1956,Historical
total_under_20,20944.0,1956,Historical
youth_quota,0.4810178911830229,1956,Historical
old_quota,0.14735536620656392,1956,Historical
total_pop,70901.0,1956,Historical
share_over_67,0.09227732198359141,1957,Historical
share_20_66,0.6127880603701733,1957,Historical
share_under_20,0.29493461764623524,1957,Historical
total_over_67,6591.0,1957,Historical
total_20_66,43769.0,1957,Historical
total_under_20,21066.0,1957,Historical
youth_quota,0.48129954990975343,1957,Historical
old_quota,0.1505860312093034,1957,Historical
total_pop,71426.0,1957,Historical
share_over_67,0.09381381715127182,1958,Historical
share_20_66,0.6145200950224359,1958,Historical
share_under_20,0.29166608782629233,1958,Historical
total_over_67,6753.0,1958,Historical
total_20_66,44235.0,1958,Historical
total_under_20,20995.0,1958,Historical
youth_quota,0.474624166384085,1958,Historical
old_quota,0.15266191929467615,1958,Historical
total_pop,71983.0,1958,Historical
share_over_67,0.09495303383494945,1959,Historical
share_20_66,0.6171671333397702,1959,Historical
share_under_20,0.28787983282528035,1959,Historical
total_over_67,6884.0,1959,Historical
total_20_66,44744.0,1959,Historical
total_under_20,20871.0,1959,Historical
youth_quota,0.46645360271768277,1959,Historical
old_quota,0.15385303057393168,1959,Historical
total_pop,72499.0,1959,Historical
share_over_67,0.09590652875827724,1960,Historical
share_20_66,0.6200404969080063,1960,Historical
share_under_20,0.2840529743337164,1960,Historical
total_over_67,7010.0,1960,Historical
total_20_66,45320.0,1960,Historical
total_under_20,20762.0,1960,Historical
youth_quota,0.4581200353045013,1960,Historical
old_quota,0.15467784642541924,1960,Historical
total_pop,73092.0,1960,Historical
share_over_67,0.09844390734052087,1961,Historical
share_20_66,0.6204681856448415,1961,Historical
share_under_20,0.2810879070146376,1961,Historical
total_over_67,7250.0,1961,Historical
total_20_66,45695.0,1961,Historical
total_under_20,20701.0,1961,Historical
youth_quota,0.4530254951307583,1961,Historical
old_quota,0.15866068497647445,1961,Historical
total_pop,73646.0,1961,Historical
share_over_67,0.09953600968327618,1962,Historical
share_20_66,0.617914060923946,1962,Historical
share_under_20,0.2825499293927779,1962,Historical
total_over_67,7401.0,1962,Historical
total_20_66,45945.0,1962,Historical
total_under_20,21009.0,1962,Historical
youth_quota,0.45726412014365003,1962,Historical
old_quota,0.16108390466862554,1962,Historical
total_pop,74355.0,1962,Historical
share_over_67,0.1010596467844052,1963,Historical
share_20_66,0.6147284238587137,1963,Historical
share_under_20,0.28421192935688105,1963,Historical
total_over_67,7582.0,1963,Historical
total_20_66,46120.0,1963,Historical
total_under_20,21323.0,1963,Historical
youth_quota,0.4623373807458804,1963,Historical
old_quota,0.16439722463139636,1963,Historical
total_pop,75025.0,1963,Historical
share_over_67,0.10280633509308142,1964,Historical
share_20_66,0.6108707445189802,1964,Historical
share_under_20,0.28632292038793844,1964,Historical
total_over_67,7770.0,1964,Historical
total_20_66,46169.0,1964,Historical
total_under_20,21640.0,1964,Historical
youth_quota,0.46871277263964994,1964,Historical
old_quota,0.16829474322597415,1964,Historical
total_pop,75579.0,1964,Historical
share_over_67,0.10449501500085158,1965,Historical
share_20_66,0.6039382148331565,1965,Historical
share_under_20,0.291566770165992,1965,Historical
total_over_67,7976.0,1965,Historical
total_20_66,46098.0,1965,Historical
total_under_20,22255.0,1965,Historical
youth_quota,0.48277582541541936,1965,Historical
old_quota,0.17302269078918825,1965,Historical
total_pop,76329.0,1965,Historical
share_over_67,0.10649316851008458,1966,Historical
share_20_66,0.5974105400130124,1966,Historical
share_under_20,0.2960962914769031,1966,Historical
total_over_67,8184.0,1966,Historical
total_20_66,45911.0,1966,Historical
total_under_20,22755.0,1966,Historical
youth_quota,0.4956328548713816,1966,Historical
old_quota,0.17825793382849425,1966,Historical
total_pop,76850.0,1966,Historical
share_over_67,0.10925471563396555,1967,Historical
share_20_66,0.5914372135893342,1967,Historical
share_under_20,0.2993080707767003,1967,Historical
total_over_67,8416.0,1967,Historical
total_20_66,45559.0,1967,Historical
total_under_20,23056.0,1967,Historical
youth_quota,0.506069053315481,1967,Historical
old_quota,0.1847274962137009,1967,Historical
total_pop,77031.0,1967,Historical
share_over_67,0.11103086268491172,1968,Historical
share_20_66,0.5879128674052387,1968,Historical
share_under_20,0.3010562699098495,1968,Historical
total_over_67,8609.0,1968,Historical
total_20_66,45585.0,1968,Historical
total_under_20,23343.0,1968,Historical
youth_quota,0.5120763409016125,1968,Historical
old_quota,0.1888559833278491,1968,Historical
total_pop,77537.0,1968,Historical
share_over_67,0.1126501405571173,1969,Historical
share_20_66,0.5866981855353949,1969,Historical
share_under_20,0.30065167390748787,1969,Historical
total_over_67,8816.0,1969,Historical
total_20_66,45915.0,1969,Historical
total_under_20,23529.0,1969,Historical
youth_quota,0.5124469127736033,1969,Historical
old_quota,0.19200696939997822,1969,Historical
total_pop,78260.0,1969,Historical
share_over_67,0.11508551662289411,1970,Historical
share_20_66,0.5849593235539043,1970,Historical
share_under_20,0.2999551598232016,1970,Historical
total_over_67,8983.0,1970,Historical
